utterance_id	src_file_id	nth	speaker	utterance	speech_act	has_typos	difficult	duplicate	span_id	span_utterance_id	span_start	span_length	span_text	span_type	span_flag	importance_abs	importance_abs_2	importance_abs_3	importance2_abs	importance2_abs_2	importance2_abs_3	sub_span_id	sub_span_utterance_id	sub_span_start	sub_span_length	sub_span_text	negation	memo	demon_span_id	demon_span_utterance_id	demon_span_start	demon_span_length	demon_span_text
3334	62	34	user	コテージの外で、バーベキューなどできる所があればそういったところがいいです。	要求	0	0	0	1887	3334	0	19	コテージの外で、バーベキューなどできる	施設	SHLE:施設条件(レジャー)	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral	2_neutral						0						
3335	62	35	agent	かしこまりました。		0	0	0																									
3336	62	36	agent	では、バーベキューのできるベランダ付きのコテージにしましょうか？		0	0	0																									
3337	62	37	user	はい、お願いします。	はい	0	0	0																									
3338	62	38	agent	かしこまりました。		0	0	0																									
3339	62	39	agent	食材はお宿のほうでご用意できるところがよろしいでしょうか？		0	0	0																									
3340	62	40	agent	それともお客様ご自身でご準備なさいますか？		0	0	0																									
3341	62	41	user	宿で用意してくださるのであれば、お願いしたいです。	照応要求	0	0	0	1888	3339	0	12	食材はお宿のほうでご用意	サービス	SESE:ホテルサービス	2_neutral	2_neutral	1_weak	2_neutral	2_neutral							0	範囲外「食材」	144	3341	0	4	宿で用意
3342	62	42	agent	承知しました。		0	0	0																									
3343	62	43	agent	それでは、以下のご希望条件に合うお宿をお探しいたします。		0	0	0																									
3344	62	44	agent	・日付は２月２５日。		0	0	0																									
3345	62	45	agent	・宿泊日数は４泊。		0	0	0																									
3346	62	46	agent	・宿泊地は山梨県。		0	0	0																									
3347	62	47	agent	・人数は大人１名、子供３名。		0	0	0																									
3348	62	48	agent	・駐車場付きの宿を希望。		0	0	0																									
3349	62	49	agent	・河口湖へのアクセスがよい宿を希望。		0	0	0																									
3350	62	50	agent	・宿タイプは１棟貸しのコテージを希望。		0	0	0																									
3351	62	51	agent	・食事は朝・夕２食付きを希望。		0	0	0																									
3352	62	52	agent	・富士山の見える宿を希望。		0	0	0																									
3353	62	53	agent	・バーベキューのできるベランダ付きのコテージを希望。		0	0	0																									
3354	62	54	agent	・バーベキュー食材を用意してもらえる宿を希望。		0	0	0																									
